kid,built_km2_2023,built_km2_2024,built_km2_2025,delta_km2_23_25
301,77.94301534160539,68.4483632478554,67.1989184353554,-10.74409690625
1101,1.4911299375,0.994081296875,1.4911299375,0.0
1103,23.947983287745096,20.5981204375,22.26624521158088,-1.6817380761642158
1106,10.070463575367649,10.567156794117649,9.376046324999999,-0.6944172503676489
1108,15.542196067463236,14.059234904534314,13.572859909987745,-1.9693361574754902
1111,0.0,0.0,0.0,0.0
1112,0.2487160625,0.2487160625,0.2487160625,0.0
1114,0.0,0.0,0.0,0.0
1119,3.229376359375,2.73250846875,2.73250846875,-0.496867890625
1120,2.235808140625,1.98736096875,1.73891384375,-0.496894296875
1121,3.881290993688726,3.136041290563726,2.887522243688726,-0.99376875
1122,1.4354419483455882,1.4354547764705883,1.1869495264705883,-0.248492421875
1124,4.441554193872548,2.484236203125,2.950943115747549,-1.4906110781249995
1127,0.6556955490196078,0.43647456096813725,0.43647456096813725,-0.2192209880514706
1130,2.4858256875,2.237234953125,1.988688171875,-0.497137515625
1133,0.0,0.0,0.0,0.0
1134,0.0,0.0,0.0,0.0
1135,0.49751328125,0.49751328125,0.248758125,-0.24875515625
1144,0.0,0.0,0.0,0.0
1145,0.0,0.0,0.0,0.0
1146,1.242000515625,0.993605671875,0.49681928125,-0.745181234375
1149,6.704836625,7.201452546875,5.21470365625,-1.49013296875
1151,0.0,0.0,0.0,0.0
1160,0.24856584375,0.0,0.0,-0.24856584375
1505,1.745685671875,2.244449203125,1.49629278125,-0.249392890625
1506,3.489205375,3.73839925,3.23995834375,-0.24924703125
1508,4.730926625,3.2368635625,3.486058171875,-1.244868453125
1511,0.24872309375,0.0,0.0,-0.24872309375
1514,0.0,0.0,0.0,0.0
1515,0.248776515625,0.248776515625,0.248776515625,0.0
1516,1.493019625,1.99067746875,1.493019625,0.0
1517,0.49777765625,0.49777765625,0.49777765625,0.0
1520,0.995608609375,0.0,0.7467198125,-0.248888796875
1525,0.24912796875,0.0,0.24912796875,0.0
1528,0.0,0.24904209375,0.0,0.0
1531,0.995773140625,0.746834,0.74682571875,-0.248947421875
1532,0.24893084375,0.24893084375,0.24893084375,0.0
1535,0.249195875,0.249195875,0.0,-0.249195875
1539,0.498675140625,0.99733646875,0.498675140625,0.0
1547,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1563,0.249536625,0.249536625,0.249536625,0.0
1566,0.499144734375,0.24957628125,0.249568453125,-0.24957628125
1573,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,1.74221015625,1.493324203125,1.493315734375,-0.248894421875
1578,0.0,0.0,0.0,0.0
1579,0.24922778125,0.24922778125,0.24922778125,0.0
1580,0.0,0.0,0.0,0.0
1811,0.0,0.0,0.0,0.0
1812,0.0,0.0,0.0,0.0
1813,0.0,0.0,0.5001986875,0.5001986875
1815,0.0,0.0,0.0,0.0
1816,0.0,0.0,0.0,0.0
1818,0.0,0.0,0.0,0.0
1820,0.0,0.0,0.0,0.0
1822,0.0,0.0,0.0,0.0
1824,1.751113203125,1.50095453125,1.250795359375,-0.50031784375
1825,0.0,0.0,0.0,0.0
1826,0.0,0.0,0.0,0.0
1827,0.0,0.0,0.0,0.0
1832,0.0,0.0,0.0,0.0
3101,6.748321359375,5.49865178125,5.248702203125,-1.49961915625
3103,7.494962640625,7.494964140625,4.996633140625,-2.4983295
3105,10.49577553125,9.496186578125,8.49657734375,-1.9991981875
3107,15.708779918749999,12.210514746874999,11.710775887499999,-3.99800403125
3110,0.0,0.0,0.0,0.0
3112,1.4981212672794118,1.2482589547794116,0.99939096875,-0.49873029852941164
3114,0.249862328125,0.249862328125,0.249862328125,0.0
3116,0.2499094375,0.0,0.0,-0.2499094375
3118,7.24757284375,6.247916984375,5.498150375,-1.74942246875
3120,1.249685140625,0.99975090625,0.99975090625,-0.249934234375
3122,0.749942703125,0.49996103125,0.49996103125,-0.249981671875
3124,0.0,0.0,0.0,0.0
3201,22.63021001004902,15.635245885049018,16.6903582403799,-5.939851769669118
3203,15.917893186642157,8.691195732659313,7.4421619670343135,-8.475731219607843
3205,11.223165128553921,8.746652671875,7.747024453125,-3.4761406754289212
3207,7.99558340625,7.495852984375,6.496406484375,-1.499176921875
3209,6.7479295625,6.49800040625,6.24806490625,-0.49986465625
3212,2.998034328125,2.498350484375,1.24916921875,-1.748865109375
3214,2.24848171875,1.4989873125,1.74881728125,-0.4996644375
3216,2.998121828125,2.7482755,1.998732109375,-0.99938971875
3218,2.933617267585784,2.4593661571691174,2.4593661571691174,-0.4742511104166666
3220,0.7497228125,0.499808046875,0.499808046875,-0.249914765625
3222,9.018501291789217,7.269295479289216,6.784221891973039,-2.234279399816178
3224,3.278107338970588,2.8184895056372548,2.827309411887255,-0.45079792708333305
3226,1.249824515625,1.249824515625,1.249824515625,0.0
3228,1.74972825,1.249812453125,1.249812453125,-0.499915796875
3230,0.0,0.0,0.0,0.0
3232,2.74866478125,2.2489074375,1.99902525,-0.74963953125
3234,0.249855140625,0.249855140625,0.249855140625,0.0
3236,0.0,0.0,0.0,0.0
3238,0.99961784375,0.7497096875,0.7497096875,-0.24990815625
3240,3.998864671875,3.748938109375,3.498994984375,-0.4998696875
3242,0.0,0.0,0.0,0.0
3301,14.984717171875,13.23649765625,11.23848721875,-3.746229953125
3303,5.49220515625,4.4936284375,3.99434190625,-1.49786325
3305,3.24712440625,1.248880640625,1.748431609375,-1.498692796875
3310,0.249780296875,0.0,0.0,-0.249780296875
3312,1.6729389748161765,1.6729389748161765,1.4613768615808822,-0.21156211323529436
3314,3.2391886613970584,2.4901295832720587,2.4901295832720587,-0.749059078125
3316,2.247446125,1.748003140625,1.748003140625,-0.499442984375
3318,0.0,0.0,0.0,0.0
3320,0.0,0.0,0.0,0.0
3322,0.74869071875,0.74869071875,0.499126484375,-0.249564234375
3324,0.748595,0.748595,0.499060640625,-0.249534359375
3326,0.0,0.0,0.0,0.0
3328,0.49888115625,0.249442734375,0.249442734375,-0.249438421875
3330,0.99742415625,0.4987109375,0.49871321875,-0.4987109375
3332,0.0,0.0,0.0,0.0
3334,0.0,0.0,0.0,0.0
3336,0.0,0.0,0.0,0.0
3338,0.0,0.0,0.0,0.0
3401,2.75034009375,2.500311484375,2.500307421875,-0.250032671875
3403,7.247711828125,7.497631921875,6.997787828125,-0.249924
3405,5.74620565625,4.74684946875,4.74685396875,-0.9993516875
3407,7.245963640625,6.746250359375,5.74681371875,-1.499149921875
3411,6.197340915625,5.24776409375,4.74799178125,-1.4493491343750005
3412,0.249957984375,0.49991596875,0.249957984375,0.0
3413,2.7492654375,2.249394296875,2.499331140625,-0.249934296875
3414,0.0,0.0,0.0,0.0
3415,0.749978203125,0.49998621875,0.49998621875,-0.249991984375
