kid,built_km2_2023,built_km2_2024,built_km2_2025,gain_km2_23_24,loss_km2_23_24,net_km2_23_24,gain_km2_24_25,loss_km2_24_25,net_km2_24_25,gain_km2_23_25,loss_km2_23_25,net_km2_23_25,delta_km2_23_24,delta_km2_24_25,delta_km2_23_25
1146,3.539752352172852,3.163199806640625,2.7133963009643556,0.41229501971435545,0.7861638466186524,-0.3738688269042969,0.37745006439208983,0.8272535700683594,-0.44980350567626953,0.19944193884277345,1.0257979900512695,-0.8263560512084961,0.41229501971435545,0.37745006439208983,0.19944193884277345
1149,13.557385657043458,13.487626551574706,10.143137912841796,1.6967914930419923,1.766550598449707,-0.06975910546875,0.8662684956054687,4.210757134277344,-3.3444886387329102,0.9181177338256836,4.332365478027344,-3.4142477442016603,1.6967914930419923,0.8662684956054687,0.9181177338256836
1151,0.014295524169921876,0.0259107744140625,0.002680411560058594,0.016976062866210936,0.005360812622070312,0.011615250244140625,0.0,0.023230362854003907,-0.023230362854003907,0.0,0.011615112609863282,-0.011615112609863282,0.016976062866210936,0.0,0.0
1160,2.365710944824219,1.830740948852539,1.5121222049560548,0.315859154296875,0.8025160306396485,-0.48665687634277344,0.46072581292724607,0.786502081237793,-0.3257762683105469,0.16640929693603515,1.0199980368041992,-0.8535887398681641,0.315859154296875,0.46072581292724607,0.16640929693603515
1505,4.729592479003906,5.358921541992188,4.029302610595703,1.4059416198120118,0.7766125568237304,0.6293290629882813,0.23971705310058594,1.569335984436035,-1.3296189313354492,0.7640232961425781,1.464313164489746,-0.700289868347168,1.4059416198120118,0.23971705310058594,0.7640232961425781
1506,6.29551188104248,6.408524794459204,5.117255654052735,1.126091073145728,0.8570466711425782,0.2690444020031499,0.36794528302001955,1.7946211721447516,-1.426675889124732,0.6209693693237305,1.7992255963134767,-1.1782562270507813,1.126091073145728,0.36794528302001955,0.6209693693237305
1508,10.4922607008667,6.503106540039062,8.370420330871582,2.2624292411499023,2.008693842224121,0.25373539892578123,1.65104279486084,2.3636706392822266,-0.7126278444213867,1.6448399181518554,3.7666802881469725,-2.1218403699951174,2.2624292411499023,1.65104279486084,1.6448399181518554
1511,0.3743213454589844,0.20416803436279296,0.3510240723876953,0.09044358935546876,0.06358513098144532,0.02685845837402344,0.04835933093261719,0.15043479815673827,-0.1020754672241211,0.1951969755859375,0.21849424865722655,-0.023297273071289062,0.09044358935546876,0.04835933093261719,0.1951969755859375
1514,0.34743897143554686,0.117299931640625,0.2614783897094727,0.061784967956542966,0.012535748779296875,0.0492492191772461,0.004477451843261719,0.09580789318847656,-0.09133044134521484,0.05462467193603516,0.1405852536621094,-0.08596058172607422,0.061784967956542966,0.004477451843261719,0.05462467193603516
1515,1.6694233858032226,1.6452194677734375,1.0621926051635742,0.4164529358520508,0.3878197232666016,0.02863321258544922,0.15942659252929686,0.7720064513549805,-0.6125798588256836,0.18538948315429687,0.7926202637939453,-0.6072307806396484,0.4164529358520508,0.15942659252929686,0.18538948315429687
